Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
743864.24441009108,549259.47182648571,229481.2796428806,0,0,79598.652625285788
1209446.6633839949,1716121.0180928342,1644625.2516148295,0,0,0
97983.112118446326,0.0,0.0,0,0,0
247935.13164824346,270394.74543885514,292198.9810165657,0,0,0
0.0,0.0,0.0,0,0,0
408282.5652453138,731789.57050826447,699974.92083416495,0,0,0
381348.46798697975,250211.29134543371,433464.72462157608,0,0,0
1026824.0958726555,1318792.0703937884,1142803.0738308118,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1206948.1715023946,1449430.3095722692,1199515.7380055282,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
890468.75082450185,802757.55693360779,677074.5496754325,0,0,0
135744.19996116197,368708.73933155736,388755.80424398481,0,0,0
841051.25816102244,765902.57973572577,502509.12822053017,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
96112103.76881133,113953224.34980169,98912380.42358686,387815955.97640413,429198820.71116298,394690448.71789193
0.0,1179772.8631949462,415409.94946962816,2213212.1918321876,0.0,3145067.9244174566
3835738.9713219688,3650528.7579544024,3280525.860478262,25924708.709257454,31171481.156251803,24178619.3699596
31028568.105859444,34788553.539288193,30716503.914960764,545064003.55913949,680427216.05966675,647010189.93566263
86580.888606463937,301535.50603212666,337612.97257994069,0.0,2622307.2711110343,5302748.7209067103
3165589.2046242971,3099212.5599254761,2856189.3403656767,20997763.83890304,25134762.824956033,20612958.619288512
63321.34523911163,183733.49414822808,58493.466521526308,2840512.2783764871,19498.633729811754,1697966.9249361043
285672.78428877814,513753.11895649979,184414.73302468201,8678880.083546225,7087828.7690543877,5720663.8198629227
242077.17607289724,134366.14913653763,156446.56736864737,0.0,0.0,0.0
847580.28819603904,1108036.6243899749,884030.33351716923,4807468.4985846113,3179092.8782996684,2563640.0710188523
663482.40438331477,1020566.6774562629,935611.83807956497,94722.282340549471,0.0,0.0
2308686.8522508554,2722044.610626372,2475692.6130683953,62505.257233078235,0.0,0.0
1777257.1495151247,2299388.481740071,1500095.127778555,0.0,0,0
5605780.1558703296,5998803.0461762687,5857653.1424202258,0,0,49924.089420697004
1324166.5803252363,2016870.9604716052,1755276.3015294124,0,108808.98598867976,0
8098008.6323215151,8595828.7498568464,8041326.6700504124,150659.61586722141,0,0
1385476.5233715586,1262813.4610084968,1424170.7789301523,0,0,0
6860449.6083510639,7596221.025700476,7094825.4319557594,163408.21650462385,72860.413257999622,149206.8198166182
